matched_product,anchor_store,anchor_price,comparison_store,comparison_product,comparison_price,price_diff_pkr,confidence_score_pct
nestle fruita vitals apple fruit nectar 200ml,Naheed (Karachi),75.0,Metro (Lahore),nestle fruita vitals apple nectar 200 ml,60.0,-15.0,87.06
nestle fruita vitals apple fruit nectar 200ml,Naheed (Karachi),75.0,Metro (Islamabad/Rawalpindi),nestle fruita vitals apple nectar 200 ml,50.7502,-24.2498,87.06
nestle fruita vitals apple fruit nectar 200ml,Naheed (Karachi),75.0,Metro (Karachi),nestle fruita vitals apple nectar 200 ml,60.0,-15.0,87.06
"sunsilk coconut oil and aloe vera bouncy volume shampoo, 380ml",Naheed (Karachi),850.0,Metro (Islamabad/Rawalpindi),sunsilk coconut oil and aloe vera shampoo 380ml,839.0,-11.0,87.04
"sunsilk coconut oil and aloe vera bouncy volume shampoo, 380ml",Naheed (Karachi),850.0,Metro (Karachi),sunsilk coconut oil and aloe vera shampoo 380ml,839.0,-11.0,87.04
"sunsilk coconut oil and aloe vera bouncy volume shampoo, 380ml",Naheed (Karachi),850.0,Metro (Lahore),sunsilk coconut oil and aloe vera shampoo 380ml,839.0,-11.0,87.04
"falak ginger powder, 60g",Naheed (Karachi),320.0,Metro (Islamabad/Rawalpindi),bakea ginger powder 60g,258.59,-61.410000000000025,86.96
pakola creme soda bottle 1.5 liters,Naheed (Karachi),170.0,AlFatah (Faisalabad),pakola ice cream soda bottle 1.5 ltr,165.0,-5.0,86.96
fay executive tissue,Naheed (Karachi),340.0,Imtiaz (Karachi),fay tissue executive 150's,285.0,-55.0,86.96
yuppies star wax shoe polish black 48ml,Naheed (Karachi),520.0,Imtiaz (Karachi),yuppies shoe polish 48ml black,445.0,-75.0,86.96
"dawn chicken shami kabab, 16 pieces, 576g",Naheed (Karachi),1030.0,Metro (Islamabad/Rawalpindi),dawn chicken shami kabab 6 pcs,317.8,-712.2,86.96
"hashmi ispaghol husk, 100g",Naheed (Karachi),745.0,AlFatah (Faisalabad),hashmi ispaghol 100 gm,745.0,0.0,86.96
"korneez butter scotch popcorn, 50g",Naheed (Karachi),118.0,Metro (Islamabad/Rawalpindi),kernel pop butter scotch popcorn 50g,120.0,2.0,86.96
"lay's paprika chips, 18g",Naheed (Karachi),30.0,AlFatah (Faisalabad),lays paprika chips 18 gm,30.0,0.0,86.96
"falak ginger powder, 60g",Naheed (Karachi),320.0,Metro (Lahore),bakea ginger powder 60g,258.59,-61.410000000000025,86.96
"falak ginger powder, 60g",Naheed (Karachi),320.0,Metro (Karachi),bakea ginger powder 60g,258.59,-61.410000000000025,86.96
"korneez butter scotch popcorn, 50g",Naheed (Karachi),118.0,Metro (Karachi),kernel pop butter scotch popcorn 50g,120.0,2.0,86.96
"olper's strawberry flavoured milk, 180ml",Naheed (Karachi),95.0,AlFatah (Faisalabad),flavored milk strawberry 180ml,80.0,-15.0,86.96
"tyfon rat & mouse killer, 30g",Naheed (Karachi),135.0,Imtiaz (Karachi),tyfon rat killer 30g,129.0,-6.0,86.96
"dawn chicken shami kabab, 16 pieces, 576g",Naheed (Karachi),1030.0,Metro (Lahore),dawn chicken shami kabab 6 pcs,317.8,-712.2,86.96
"korneez butter scotch popcorn, 50g",Naheed (Karachi),118.0,Metro (Lahore),kernel pop butter scotch popcorn 50g,120.0,2.0,86.96
"samyang 2x spicy hot chicken flavor ramen noodle, 140gm",Naheed (Karachi),475.0,AlFatah (Faisalabad),samyang noodle hot chicken flavor ramen 140 gm,465.0,-10.0,86.87
"rimmel kind & free glow it up moisturizing skin tint, vegan, 160 vanilla, 30ml",Naheed (Karachi),3170.0,AlFatah (Faisalabad),rimmel kind & free glow it up moisturizing skin tint - 160 v,2378.0,-792.0,86.82
puck cream cheese spread 910g,Naheed (Karachi),3699.0,Metro (Karachi),puck cheese spread 910 gm,2586.25,-1112.75,86.79
puck cream cheese spread 240g,Naheed (Karachi),1150.0,Metro (Karachi),puck cheese spread 240 gm,804.4,-345.6,86.79
robin blue liquid 300ml,Naheed (Karachi),1150.0,Metro (Lahore),robin blue liquid bottle 300ml,734.11,-415.89,86.79
puck cream cheese spread 910g,Naheed (Karachi),3699.0,Metro (Islamabad/Rawalpindi),puck cheese spread 910 gm,2586.25,-1112.75,86.79
puck cream cheese spread 140g,Naheed (Karachi),710.0,Metro (Karachi),puck cheese spread 140 gm,475.7,-234.3,86.79
robin blue liquid 300ml,Naheed (Karachi),1150.0,Metro (Karachi),robin blue liquid bottle 300ml,734.11,-415.89,86.79
robin blue liquid 300ml,Naheed (Karachi),1150.0,Metro (Islamabad/Rawalpindi),robin blue liquid bottle 300ml,734.11,-415.89,86.79
nestle milkpak cream 200ml,Naheed (Karachi),230.0,AlFatah (Faisalabad),nestle milk pak cream 200ml,220.0,-10.0,86.79
"fresh basket china garlic, 250g",Naheed (Karachi),200.0,Imtiaz (Karachi),fresh garlic (china) 250g,185.0,-15.0,86.79
"falak garlic powder, 70g",Naheed (Karachi),330.0,Imtiaz (Karachi),falak garlic powder 70g bottle,259.0,-71.0,86.79
sugarie chashnik granulated brown sugar 500gm,Naheed (Karachi),190.0,Metro (Lahore),sugarie granulated brown sugar 500 gms,148.31,-41.69,86.75
sugarie chashnik granulated brown sugar 500gm,Naheed (Karachi),190.0,Metro (Karachi),sugarie granulated brown sugar 500 gms,148.31,-41.69,86.75
"harpic power plus toilet cleaner, lavender, 900ml",Naheed (Karachi),1200.0,Imtiaz (Karachi),harpic toilet cleaner lavender 900ml,1065.0,-135.0,86.75
"molped pure & soft maxi thick organic cotton pad, extra long, 8-pack",Naheed (Karachi),320.0,AlFatah (Faisalabad),molped organic cotton maxi thick extra long 8 pcs,345.0,25.0,86.73
"rooh afza, 1500ml",Naheed (Karachi),850.0,Metro (Islamabad/Rawalpindi),rooh afza 1.5l,436.52,-413.48,86.67
"cadbury dairy milk bubbly milk chocolate, 87g, (local)",Naheed (Karachi),500.0,Metro (Islamabad/Rawalpindi),cadbury dairy milk bubbly chocolate 87gm,296.61,-203.39,86.67
"nestle nesvita low fat milk, 1000ml",Naheed (Karachi),400.0,Metro (Islamabad/Rawalpindi),nestle milk nesvita 1000ml,270.0,-130.0,86.67
"maybelline new york lifter glaze oil balm, 007 berry haze, 2.8g",Naheed (Karachi),2499.0,AlFatah (Faisalabad),maybelline lifter glaze lip oil balm 007 berry haze 2.8g  as,1749.0,-750.0,86.67
"rooh afza, 1500ml",Naheed (Karachi),850.0,Metro (Lahore),rooh afza 1.5l,406.52,-443.48,86.67
"cadbury dairy milk bubbly milk chocolate, 87g, (local)",Naheed (Karachi),500.0,Metro (Lahore),cadbury dairy milk bubbly chocolate 87gm,296.61,-203.39,86.67
"cadbury dairy milk bubbly milk chocolate, 87g, (local)",Naheed (Karachi),500.0,Metro (Karachi),cadbury dairy milk bubbly chocolate 87gm,296.61,-203.39,86.67
"puffin underpad, 60x90cm, 10-pack",Naheed (Karachi),1200.0,Imtiaz (Karachi),puffin underpads 10's 60x90cm,1063.0,-137.0,86.67
laziza gulab jamun dessert mix 85g,Naheed (Karachi),240.0,Imtiaz (Karachi),laziza gulab jamun mix 85g,225.0,-15.0,86.67
"nestle nesvita low fat milk, 1000ml",Naheed (Karachi),400.0,Metro (Lahore),nestle milk nesvita 1000ml,270.0,-130.0,86.67
"nestle everyday tea whitener, 350g",Naheed (Karachi),745.0,Metro (Lahore),everyday tea whitener 350gm,700.0,-45.0,86.67
"italiano lychee flavor basil seed drink, 290ml",Naheed (Karachi),150.0,AlFatah (Faisalabad),italiano basil seed drink lemon flavor 290 ml,125.0,-25.0,86.67
"nestle everyday tea whitener, 350g",Naheed (Karachi),745.0,Metro (Karachi),everyday tea whitener 350gm,700.0,-45.0,86.67
national ginger powder 50gm,Naheed (Karachi),180.0,Imtiaz (Karachi),national spices ginger powder 50g,219.0,39.0,86.67
"hankies toilet tissues roll, single",Naheed (Karachi),130.0,Imtiaz (Karachi),hankies toilet roll single,115.0,-15.0,86.67
"farm fresh omega-3 eggs, 12-pack",Naheed (Karachi),420.0,AlFatah (Faisalabad),farm fresh omega 3 eggs 6 psc,210.0,-210.0,86.67
"rooh afza, 1500ml",Naheed (Karachi),850.0,Metro (Karachi),rooh afza 1.5l,406.52,-443.48,86.67
"nestle everyday tea whitener, 350g",Naheed (Karachi),745.0,Metro (Islamabad/Rawalpindi),everyday tea whitener 350gm,700.0,-45.0,86.67
"yc whitening bamboo charcoal face wash, 100ml",Naheed (Karachi),500.0,Imtiaz (Karachi),yong chin whitening facial wash bamboo charcoal 100ml,589.0,89.0,86.6
"st. ives glowing apricot daily facial cleanser, 200ml",Naheed (Karachi),1900.0,AlFatah (Faisalabad),st.ives glowing apricot facial cleanser 200ml,1495.0,-405.0,86.6
"dawn chicken spring roll, 12-pack, 420g",Naheed (Karachi),735.0,Metro (Lahore),dawn chicken spring roll 420gm,598.29,-136.71000000000004,86.57
"farm fresh omega-3 eggs, 12-pack",Naheed (Karachi),420.0,AlFatah (Faisalabad),farm fresh omega 3 jumbo pack 15 egg,495.0,75.0,86.57
"dawn chicken spring roll, 12-pack, 420g",Naheed (Karachi),735.0,Metro (Karachi),dawn chicken spring roll 420gm,598.29,-136.71000000000004,86.57
"national pulao masala mix, 70g",Naheed (Karachi),150.0,Imtiaz (Karachi),national receipes pulao masala mix 70g,129.0,-21.0,86.57
"dawn chicken spring roll, 12-pack, 420g",Naheed (Karachi),735.0,Metro (Islamabad/Rawalpindi),dawn chicken spring roll 420gm,598.29,-136.71000000000004,86.57
"olper's chocolate flavoured milk, 180ml",Naheed (Karachi),95.0,AlFatah (Faisalabad),flavored milk chocolate 180ml,80.0,-15.0,86.57
"delmonte sliced green olives, 450g",Naheed (Karachi),1399.0,Metro (Lahore),delmonte green olives pitted 450 gm,939.32,-459.67999999999995,86.57
"delmonte sliced green olives, 450g",Naheed (Karachi),1399.0,Metro (Islamabad/Rawalpindi),delmonte green olives pitted 450 gm,939.32,-459.67999999999995,86.57
"more & more mug, 912",Naheed (Karachi),1700.0,AlFatah (Faisalabad),mug more & more k21002,1445.0,-255.0,86.49
"cherry blossom dark tan shoe polish, 20ml",Naheed (Karachi),325.0,Metro (Lahore),cherry blossom paste dark tan 20ml,156.54,-168.46,86.49
"cherry blossom dark tan shoe polish, 20ml",Naheed (Karachi),325.0,Metro (Karachi),cherry blossom paste dark tan 20ml,156.54,-168.46,86.49
"cherry blossom dark tan shoe polish, 20ml",Naheed (Karachi),325.0,Metro (Islamabad/Rawalpindi),cherry blossom paste dark tan 20ml,156.54,-168.46,86.49
"more & more mug, 416",Naheed (Karachi),1700.0,AlFatah (Faisalabad),mug more & more k4a01f,1445.0,-255.0,86.49
"maybelline new york lifter glaze oil balm, 003 rose bite, 2.8g",Naheed (Karachi),2499.0,AlFatah (Faisalabad),maybelline lifter glaze lip oil balm 003 rose bite 2.8g  as,1749.0,-750.0,86.44
sugarie chashnik granulated brown sugar 500gm,Naheed (Karachi),190.0,AlFatah (Faisalabad),sugarie sugar granulated brown 500 gm,210.0,20.0,86.42
muree brewery`s lemon malt 250ml bottle,Naheed (Karachi),85.0,Imtiaz (Karachi),murree brewery's beer lemon malt n/r 250ml,79.0,-6.0,86.42
muree brewery`s peach malt 250ml bottle,Naheed (Karachi),85.0,Imtiaz (Karachi),murree brewery's beer peach malt n/r 250ml,79.0,-6.0,86.42
"eveline magical perfection anti-fatigue eye concealer, 02a, light vanilla",Naheed (Karachi),1850.0,AlFatah (Faisalabad),eveline magical perfection eye concealer light vanilla,1483.0,-367.0,86.4
"tresemme bondplex sleek hair repair shampoo, 170ml",Naheed (Karachi),550.0,Metro (Karachi),tresemme bond plex & repair shampoo 170ml,525.0,-25.0,86.36
"wrigley's extra spearmint sugar-free, 46-pack",Naheed (Karachi),1299.0,AlFatah (Faisalabad),wrigleys extra gum spearmint sugar free 67 gm,995.0,-304.0,86.36
"young's choco bliss hazelnut cocoa spread, 675g",Naheed (Karachi),1599.0,Imtiaz (Karachi),choco bliss chocolate spread hazelnut 675g,1406.0,-193.0,86.36
"tang pineapple pouch, 375g",Naheed (Karachi),350.0,Metro (Lahore),tang pineapple 375g,200.54,-149.46,86.36
"kolson lasagne pasta, 370g",Naheed (Karachi),370.0,Imtiaz (Karachi),kolson lasagne 370g,316.0,-54.0,86.36
"tresemme bondplex sleek hair repair shampoo, 170ml",Naheed (Karachi),550.0,Metro (Lahore),tresemme bond plex & repair shampoo 170ml,525.0,-25.0,86.36
"lay's masala chips, 30g",Naheed (Karachi),50.0,AlFatah (Faisalabad),lays chips masala 30 gm,50.0,0.0,86.36
"tresemme bondplex sleek hair repair shampoo, 360ml",Naheed (Karachi),930.0,Metro (Lahore),tresemme bond plex & repair shampoo 360ml,895.0,-35.0,86.36
"tresemme bondplex sleek hair repair shampoo, 170ml",Naheed (Karachi),550.0,Metro (Islamabad/Rawalpindi),tresemme bond plex & repair shampoo 170ml,525.0,-25.0,86.36
"tang pineapple pouch, 375g",Naheed (Karachi),350.0,Metro (Karachi),tang pineapple 375g,200.54,-149.46,86.36
"razmin sriracha fiery hot chili sauce, 435ml",Naheed (Karachi),675.0,AlFatah (Faisalabad),razmin sriracha chilli sauce extra hot 435 ml,1095.0,420.0,86.36
"colgate wonder woman 6 years+ toothbrush, ultra soft",Naheed (Karachi),190.0,Imtiaz (Karachi),colgate tooth brush wonder women 6+ years ultra soft.,159.0,-31.0,86.27
dalda canola oil 4.5 litres bottle,Naheed (Karachi),2850.0,Metro (Karachi),dalda canola oil 4.5 ltr,2512.71,-337.28999999999996,86.27
"tibet fruity soap, orange, 100g",Naheed (Karachi),100.0,Imtiaz (Karachi),tibet soap orange 100g,89.0,-11.0,86.27
shield falcon tooth brush,Naheed (Karachi),120.0,Imtiaz (Karachi),shield tooth brush diamond,49.0,-71.0,86.27
"tapal danedar tea, 900g",Naheed (Karachi),1800.0,Metro (Karachi),tapal danedar black tea 900gm,1280.93,-519.0699999999999,86.27
"opa! fries original, 6mm, 900g",Naheed (Karachi),965.0,Metro (Karachi),opa! original fries 900 grams,363.25,-601.75,86.27
"farlin doctor j. 3 stage baby oral hydiene set, bdt-005-e",Naheed (Karachi),2195.0,AlFatah (Faisalabad),farlin doctor j 3 stages hygiene set bdt-005-e,1995.0,-200.0,86.27
"opa! fries original, 6mm, 900g",Naheed (Karachi),965.0,Metro (Lahore),opa! original fries 900 grams,363.25,-601.75,86.27
"italia chicken powder, 100g",Naheed (Karachi),135.0,Imtiaz (Karachi),dashi powder chicken 100g,105.0,-30.0,86.27
"treet hygiene razor, 1-pack",Naheed (Karachi),55.0,Metro (Karachi),treet hygiene razor pouch,35.9602,-19.0398,86.27
"treet hygiene razor, 1-pack",Naheed (Karachi),55.0,Metro (Islamabad/Rawalpindi),treet hygiene razor pouch,35.9602,-19.0398,86.27
dalda canola oil 4.5 litres bottle,Naheed (Karachi),2850.0,Metro (Lahore),dalda canola oil 4.5 ltr,2512.71,-337.28999999999996,86.27
shan qasuri methi leaves 25gm,Naheed (Karachi),80.0,Metro (Lahore),shan qasuri methi 25gm,41.7398,-38.2602,86.27
"tapal danedar tea, 900g",Naheed (Karachi),1800.0,Metro (Lahore),tapal danedar black tea 900gm,1280.93,-519.0699999999999,86.27
mehran achar gosht masala 50g,Naheed (Karachi),130.0,Imtiaz (Karachi),mehran achar gosht 50g,115.0,-15.0,86.27
mehran achar gosht masala 50g,Naheed (Karachi),130.0,Imtiaz (Karachi),mehran chat masala 50g,95.0,-35.0,86.27
dalda canola oil 4.5 litres bottle,Naheed (Karachi),2850.0,Metro (Islamabad/Rawalpindi),dalda canola oil 4.5 ltr,2512.71,-337.28999999999996,86.27
"tapal danedar tea, 900g",Naheed (Karachi),1800.0,Metro (Islamabad/Rawalpindi),tapal danedar black tea 900gm,1280.93,-519.0699999999999,86.27
"treet hygiene razor, 1-pack",Naheed (Karachi),55.0,Metro (Lahore),treet hygiene razor pouch,35.9602,-19.0398,86.27
shan qasuri methi leaves 25gm,Naheed (Karachi),80.0,Metro (Islamabad/Rawalpindi),shan qasuri methi 25gm,41.7398,-38.2602,86.27
shan qasuri methi leaves 25gm,Naheed (Karachi),80.0,Metro (Karachi),shan qasuri methi 25gm,41.7398,-38.2602,86.27
"nivea men deep comfort after shave lotion, anti-bacterial, 100ml",Naheed (Karachi),2000.0,AlFatah (Faisalabad),nivea men deep comfort after shave lotion 100ml,1495.0,-505.0,86.24
shan easy cook haleem 300gm,Naheed (Karachi),350.0,Metro (Lahore),shan easy cook haleem mix 300 gm,177.97,-172.03,86.21
"nestle nesvita low fat milk, 200ml",Naheed (Karachi),95.0,Metro (Lahore),nestle milk nesvita 200ml,65.0,-30.0,86.21
"nestle nesvita low fat milk, 200ml",Naheed (Karachi),95.0,Metro (Islamabad/Rawalpindi),nestle milk nesvita 200ml,65.0,-30.0,86.21
shan easy cook haleem 300gm,Naheed (Karachi),350.0,Metro (Karachi),shan easy cook haleem mix 300 gm,177.97,-172.03,86.21
mehran bombay biryani masala 65g,Naheed (Karachi),140.0,Metro (Karachi),mehran bombay biryani 65 gm,83.75,-56.25,86.21
doctor fluoride toothpaste 70g,Naheed (Karachi),190.0,Metro (Islamabad/Rawalpindi),doctor toothpaste large 70gm,123.93,-66.07,86.21
shan easy cook haleem 300gm,Naheed (Karachi),350.0,Metro (Islamabad/Rawalpindi),shan easy cook haleem mix 300 gm,177.97,-172.03,86.21
national cumin powder 50gm,Naheed (Karachi),350.0,Imtiaz (Karachi),national spices cumin powder 50g,295.0,-55.0,86.21
mehran bombay biryani masala 65g,Naheed (Karachi),140.0,Metro (Islamabad/Rawalpindi),mehran bombay biryani 65 gm,83.75,-56.25,86.21
national chat masala 100gm,Naheed (Karachi),190.0,Imtiaz (Karachi),national spices chat masala 100g,165.0,-25.0,86.21
doctor fluoride toothpaste 70g,Naheed (Karachi),190.0,Metro (Karachi),doctor toothpaste large 70gm,123.93,-66.07,86.21
"nestle nesvita low fat milk, 200ml",Naheed (Karachi),95.0,Metro (Karachi),nestle milk nesvita 200ml,95.0,0.0,86.21
doctor fluoride toothpaste 70g,Naheed (Karachi),190.0,Metro (Lahore),doctor toothpaste large 70gm,123.93,-66.07,86.21
"nestle everyday whitener, 1.2 kg",Naheed (Karachi),2490.0,Metro (Lahore),nestle everyday tea whitener 1.2kg,2000.0,-490.0,86.15
"shangrila garlic chilli sauce, 400g",Naheed (Karachi),278.0,Metro (Lahore),shangrila green chli sauce 400g,186.44,-91.56,86.15
mitchell's mixed fruit jam tin 1050g,Naheed (Karachi),650.0,Metro (Karachi),mitchell jam mix fruit 1050gm,444.92,-205.07999999999998,86.15
"my cook culinary vanilla essence, 28ml",Naheed (Karachi),95.0,Metro (Islamabad/Rawalpindi),my cook vanilla essence 28ml,67.7898,-27.2102,86.15
"nestle pure life drinking water, 330ml",Naheed (Karachi),45.0,Metro (Karachi),nestle pure life water 330ml,32.9,-12.100000000000001,86.15
mitchell's mixed fruit jam tin 1050g,Naheed (Karachi),650.0,Metro (Islamabad/Rawalpindi),mitchell jam mix fruit 1050gm,444.92,-205.07999999999998,86.15
naheed char maghaz (four seeds) 100g,Naheed (Karachi),320.0,Metro (Islamabad/Rawalpindi),four seeds (char maghz) per 100gm,719.0,399.0,86.15
"nestle pure life drinking water, 500ml",Naheed (Karachi),55.0,Metro (Islamabad/Rawalpindi),nestle pure life water 500ml,37.3704,-17.629600000000003,86.15
naheed char maghaz (four seeds) 100g,Naheed (Karachi),320.0,Metro (Karachi),four seeds (char maghz) per 100gm,719.0,399.0,86.15
"my cook culinary vanilla essence, 28ml",Naheed (Karachi),95.0,Metro (Karachi),my cook vanilla essence 28ml,67.7898,-27.2102,86.15
pakola creme soda bottle 500ml,Naheed (Karachi),85.0,AlFatah (Faisalabad),pakola ice cream soda bottle 500 ml,85.0,0.0,86.15
"my cook culinary vanilla essence, 28ml",Naheed (Karachi),95.0,Metro (Lahore),my cook vanilla essence 28ml,67.7898,-27.2102,86.15
"shangrila garlic chilli sauce, 400g",Naheed (Karachi),278.0,Metro (Karachi),shangrila green chli sauce 400g,186.44,-91.56,86.15
"nestle everyday whitener, 1.2 kg",Naheed (Karachi),2490.0,Metro (Karachi),nestle everyday tea whitener 1.2kg,2000.0,-490.0,86.15
"shangrila garlic chilli sauce, 400g",Naheed (Karachi),278.0,Metro (Islamabad/Rawalpindi),shangrila green chli sauce 400g,186.44,-91.56,86.15
"nestle everyday whitener, 1.2 kg",Naheed (Karachi),2490.0,Metro (Islamabad/Rawalpindi),nestle everyday tea whitener 1.2kg,2000.0,-490.0,86.15
"nestle pure life drinking water, 500ml",Naheed (Karachi),55.0,Metro (Islamabad/Rawalpindi),nestle pure life water 500ml,58.0,3.0,86.15
"pigeon flexible sn soft & elastic pp feeding bottle, hornbill, 240ml, a79407",Naheed (Karachi),1865.0,AlFatah (Faisalabad),pigeon feeding bottle flexible soft elastic 4m+ 240 ml 79407,1695.0,-170.0,86.15
"nestle pure life drinking water, 500ml",Naheed (Karachi),55.0,Metro (Lahore),nestle pure life water 500ml,58.0,3.0,86.15
"nestle pure life drinking water, 500ml",Naheed (Karachi),55.0,Metro (Lahore),nestle pure life water 500ml,37.3704,-17.629600000000003,86.15
"nestle pure life drinking water, 500ml",Naheed (Karachi),55.0,Metro (Karachi),nestle pure life water 500ml,37.3704,-17.629600000000003,86.15
mitchell's mixed fruit jam tin 1050g,Naheed (Karachi),650.0,Metro (Lahore),mitchell jam mix fruit 1050gm,444.92,-205.07999999999998,86.15
nestle pure life drinking water 1.5 litres,Naheed (Karachi),95.0,AlFatah (Faisalabad),nestle water pure life 1.5 ltr,90.0,-5.0,86.15
"glint glass & household cleaner spray, 500ml",Naheed (Karachi),580.0,Imtiaz (Karachi),glint glass cleaner spray 500ml,589.0,9.0,86.11
dettol multi-purpose aqua cleaner 1.8 litre,Naheed (Karachi),2500.0,Metro (Lahore),dettol multi-purpose cleaner floral 1.8l,1349.62,-1150.38,86.08
"sasso extra virgin olive oil, bottle, 1000ml",Naheed (Karachi),7599.0,Metro (Karachi),sufi extra virgin olive oil bottle 1l,2200.85,-5398.15,86.08
dettol multi-purpose aqua cleaner 1.8 litre,Naheed (Karachi),2500.0,Metro (Islamabad/Rawalpindi),dettol multi-purpose cleaner floral 1.8l,1204.62,-1295.38,86.08
"sasso extra virgin olive oil, bottle, 1000ml",Naheed (Karachi),7599.0,Metro (Islamabad/Rawalpindi),sufi extra virgin olive oil bottle 1l,2200.85,-5398.15,86.08
"nivea fresh & cool after shave fluid, 100ml",Naheed (Karachi),2000.0,AlFatah (Faisalabad),nivea men after shave cool fluid 100 ml,1395.0,-605.0,86.08
dettol multi-purpose aqua cleaner 1.8 litre,Naheed (Karachi),2500.0,Metro (Karachi),dettol multi-purpose cleaner floral 1.8l,1349.62,-1150.38,86.08
"my cook culinary vanilla essence, 28ml",Naheed (Karachi),95.0,AlFatah (Faisalabad),my cook culinary vanilla essence food flavor 28ml,90.0,-5.0,86.05
nestle fruita vitals red grapes fruit drink 200ml,Naheed (Karachi),75.0,Metro (Karachi),nestle fruita vitals red grapes 200ml,60.0,-15.0,86.05
nestle fruita vitals red grapes fruit drink 200ml,Naheed (Karachi),75.0,Metro (Islamabad/Rawalpindi),nestle fruita vitals red grapes 200ml,50.7502,-24.2498,86.05
nestle fruita vitals red grapes fruit drink 200ml,Naheed (Karachi),75.0,Metro (Lahore),nestle fruita vitals red grapes 200ml,60.0,-15.0,86.05
